Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Batec.Azure.Data.Extensions.Npgsql\src\Batec.Azure.Data.Extensions.Npgsql.csproj,File,Batec.Azure.Data.Extensions.Npgsql\src\NpgsqlDataSourceBuilderExtensions.cs,27,12,M:System.TimeSpan.FromSeconds(System.Double),,,,,"return builder.UsePeriodicPasswordProvider(passwordProvider.PasswordProvider, TimeSpan.FromMinutes(29), TimeSpan.FromSeconds(5));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Batec.Azure.Data.Extensions.Npgsql\src\Batec.Azure.Data.Extensions.Npgsql.csproj,File,Batec.Azure.Data.Extensions.Npgsql\src\NpgsqlDataSourceBuilderExtensions.cs,27,12,M:System.TimeSpan.FromMinutes(System.Double),,,,,"return builder.UsePeriodicPasswordProvider(passwordProvider.PasswordProvider, TimeSpan.FromMinutes(29), TimeSpan.FromSeconds(5));"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Batec.Azure.Data.Extensions.Npgsql.EntityFrameworkCore\src\Batec.Azure.Data.Extensions.Npgsql.EntityFrameworkCore.csproj,File,Batec.Azure.Data.Extensions.Npgsql.EntityFrameworkCore\src\Batec.Azure.Data.Extensions.Npgsql.EntityFrameworkCore.csproj,,,,,,,,Current target framework: net6.0;net7.0 Recommended target framework: net6.0;net7.0;net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Batec.Azure.Data.Extensions.Npgsql.EntityFrameworkCore\tests\Batec.Azure.Data.Extensions.Npgsql.EntityFrameworkCore.Tests.csproj,File,Batec.Azure.Data.Extensions.Npgsql.EntityFrameworkCore\tests\Batec.Azure.Data.Extensions.Npgsql.EntityFrameworkCore.Tests.csproj,,,Microsoft.EntityFrameworkCore.Design 7.0.9,,,,,"Microsoft.EntityFrameworkCore.Design, 7.0.9  Recommendation:  Remove Microsoft.EntityFrameworkCore.Design, and replace with new package Microsoft.EntityFrameworkCore.Design 10.0.11"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Batec.Azure.Data.Extensions.Npgsql.EntityFrameworkCore\tests\Batec.Azure.Data.Extensions.Npgsql.EntityFrameworkCore.Tests.csproj,File,Batec.Azure.Data.Extensions.Npgsql.EntityFrameworkCore\tests\Batec.Azure.Data.Extensions.Npgsql.EntityFrameworkCore.Tests.csproj,,,Microsoft.Extensions.Configuration 7.0.0,,,,,"Microsoft.Extensions.Configuration, 7.0.0  Recommendation:  Remove Microsoft.Extensions.Configuration, and replace with new package Microsoft.Extensions.Configuration 10.0.11"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Batec.Azure.Data.Extensions.Npgsql.EntityFrameworkCore\tests\Batec.Azure.Data.Extensions.Npgsql.EntityFrameworkCore.Tests.csproj,File,Batec.Azure.Data.Extensions.Npgsql.EntityFrameworkCore\tests\Batec.Azure.Data.Extensions.Npgsql.EntityFrameworkCore.Tests.csproj,,,Microsoft.Extensions.Configuration.Abstractions 7.0.0,,,,,"Microsoft.Extensions.Configuration.Abstractions, 7.0.0  Recommendation:  Remove Microsoft.Extensions.Configuration.Abstractions, and replace with new package Microsoft.Extensions.Configuration.Abstractions 10.0.11"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Batec.Azure.Data.Extensions.Npgsql.EntityFrameworkCore\tests\Batec.Azure.Data.Extensions.Npgsql.EntityFrameworkCore.Tests.csproj,File,Batec.Azure.Data.Extensions.Npgsql.EntityFrameworkCore\tests\Batec.Azure.Data.Extensions.Npgsql.EntityFrameworkCore.Tests.csproj,,,Microsoft.Extensions.Configuration.Json 7.0.0,,,,,"Microsoft.Extensions.Configuration.Json, 7.0.0  Recommendation:  Remove Microsoft.Extensions.Configuration.Json, and replace with new package Microsoft.Extensions.Configuration.Json 10.0.11"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Batec.Azure.Data.Extensions.Npgsql.EntityFrameworkCore\tests\Batec.Azure.Data.Extensions.Npgsql.EntityFrameworkCore.Tests.csproj,File,Batec.Azure.Data.Extensions.Npgsql.EntityFrameworkCore\tests\Batec.Azure.Data.Extensions.Npgsql.EntityFrameworkCore.Tests.csproj,,,Microsoft.Extensions.DependencyInjection 7.0.0,,,,,"Microsoft.Extensions.DependencyInjection, 7.0.0  Recommendation:  Remove Microsoft.Extensions.DependencyInjection, and replace with new package Microsoft.Extensions.DependencyInjection 10.0.11"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,Batec.Azure.Data.Extensions.Npgsql.EntityFrameworkCore\tests\Batec.Azure.Data.Extensions.Npgsql.EntityFrameworkCore.Tests.csproj,File,Batec.Azure.Data.Extensions.Npgsql.EntityFrameworkCore\tests\Batec.Azure.Data.Extensions.Npgsql.EntityFrameworkCore.Tests.csproj,,,System.ValueTuple 4.5.0,,,,,"System.ValueTuple, 4.5.0  Recommendation:  Package functionality included with new framework reference"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Batec.Azure.Data.Extensions.Npgsql.EntityFrameworkCore\tests\Batec.Azure.Data.Extensions.Npgsql.EntityFrameworkCore.Tests.csproj,File,Batec.Azure.Data.Extensions.Npgsql.EntityFrameworkCore\tests\Batec.Azure.Data.Extensions.Npgsql.EntityFrameworkCore.Tests.csproj,,,,,,,,Current target framework: net7.0;net6.0 Recommended target framework: net7.0;net6.0;net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Batec.Azure.Data.Extensions.Npgsql\tests\Batec.Azure.Data.Extensions.Npgsql.Tests.csproj,File,Batec.Azure.Data.Extensions.Npgsql\tests\Batec.Azure.Data.Extensions.Npgsql.Tests.csproj,,,Microsoft.Extensions.DependencyInjection 7.0.0,,,,,"Microsoft.Extensions.DependencyInjection, 7.0.0  Recommendation:  Remove Microsoft.Extensions.DependencyInjection, and replace with new package Microsoft.Extensions.DependencyInjection 10.0.11"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,Batec.Azure.Data.Extensions.Npgsql\tests\Batec.Azure.Data.Extensions.Npgsql.Tests.csproj,File,Batec.Azure.Data.Extensions.Npgsql\tests\Batec.Azure.Data.Extensions.Npgsql.Tests.csproj,,,System.ValueTuple 4.5.0,,,,,"System.ValueTuple, 4.5.0  Recommendation:  Package functionality included with new framework reference"
